"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035088","BP","GO:0035088","establishment or maintenance of apical/basal cell polarity","14/1636","59/21288",0.000117279220419349,0.00560747231939995,0.00482365368708081,"ENSG00000067606/ENSG00000134376/ENSG00000114251/ENSG00000075711/ENSG00000083857/ENSG00000106689/ENSG00000148498/ENSG00000085741/ENSG00000150672/ENSG00000111052/ENSG00000109062/ENSG00000101680/ENSG00000168502/ENSG00000104863",14
"GO:0061245","BP","GO:0061245","establishment or maintenance of bipolar cell polarity","14/1636","59/21288",0.000117279220419349,0.00560747231939995,0.00482365368708081,"ENSG00000067606/ENSG00000134376/ENSG00000114251/ENSG00000075711/ENSG00000083857/ENSG00000106689/ENSG00000148498/ENSG00000085741/ENSG00000150672/ENSG00000111052/ENSG00000109062/ENSG00000101680/ENSG00000168502/ENSG00000104863",14
"GO:0099601","BP","GO:0099601","regulation of neurotransmitter receptor activity","14/1636","59/21288",0.000117279220419349,0.00560747231939995,0.00482365368708081,"ENSG00000143786/ENSG00000189056/ENSG00000198010/ENSG00000167653/ENSG00000283992/ENSG00000196730/ENSG00000014216/ENSG00000183092/ENSG00000237515/ENSG00000141503/ENSG00000188803/ENSG00000170579/ENSG00000161681/ENSG00000142192",14
"GO:0060078","BP","GO:0060078","regulation of postsynaptic membrane potential","27/1636","163/21288",0.00011997123516619,0.00568992608074487,0.00489458197121146,"ENSG00000067606/ENSG00000177301/ENSG00000179915/ENSG00000154764/ENSG00000082701/ENSG00000152208/ENSG00000138814/ENSG00000155511/ENSG00000204767/ENSG00000152822/ENSG00000189056/ENSG00000198785/ENSG00000188916/ENSG00000168959/ENSG00000149403/ENSG00000273079/ENSG00000084112/ENSG00000089041/ENSG00000186297/ENSG00000182256/ENSG00000117971/ENSG00000183454/ENSG00000108405/ENSG00000101489/ENSG00000105464/ENSG00000161681/ENSG00000142192",27
"GO:0045216","BP","GO:0045216","cell-cell junction organization","35/1636","235/21288",0.000122100130389488,0.00574456693456464,0.00494158506654215,"ENSG00000183853/ENSG00000134317/ENSG00000163092/ENSG00000075711/ENSG00000145362/ENSG00000145526/ENSG00000154162/ENSG00000113100/ENSG00000112715/ENSG00000170927/ENSG00000174469/ENSG00000170873/ENSG00000107186/ENSG00000119139/ENSG00000165124/ENSG00000148498/ENSG00000166689/ENSG00000085741/ENSG00000151490/ENSG00000061273/ENSG00000027075/ENSG00000171914/ENSG00000150394/ENSG00000140937/ENSG00000179776/ENSG00000140945/ENSG00000197879/ENSG00000154229/ENSG00000184009/ENSG00000082397/ENSG00000170558/ENSG00000081138/ENSG00000149654/ENSG00000179242/ENSG00000159261",35
"GO:0007160","BP","GO:0007160","cell-matrix adhesion","40/1636","282/21288",0.000123971722524226,0.00578633095369028,0.00497751126525841,"ENSG00000067606/ENSG00000196581/ENSG00000120332/ENSG00000162946/ENSG00000163539/ENSG00000144668/ENSG00000163638/ENSG00000153283/ENSG00000082701/ENSG00000128052/ENSG00000168743/ENSG00000151388/ENSG00000213949/ENSG00000145715/ENSG00000112715/ENSG00000170927/ENSG00000086289/ENSG00000135218/ENSG00000170381/ENSG00000105810/ENSG00000127990/ENSG00000128585/ENSG00000164741/ENSG00000169499/ENSG00000164946/ENSG00000165124/ENSG00000099250/ENSG00000197467/ENSG00000165816/ENSG00000198542/ENSG00000102606/ENSG00000137809/ENSG00000140937/ENSG00000140945/ENSG00000141503/ENSG00000184009/ENSG00000171791/ENSG00000156299/ENSG00000100034/ENSG00000186716",40
"GO:0021675","BP","GO:0021675","nerve development","19/1636","97/21288",0.000128606470349931,0.00595539096163736,0.00512293987983232,"ENSG00000117298/ENSG00000177301/ENSG00000144285/ENSG00000118257/ENSG00000154928/ENSG00000106571/ENSG00000075213/ENSG00000221866/ENSG00000137573/ENSG00000184156/ENSG00000099250/ENSG00000129159/ENSG00000166833/ENSG00000186297/ENSG00000070729/ENSG00000141622/ENSG00000081923/ENSG00000184058/ENSG00000133424",19
"GO:0003018","BP","GO:0003018","vascular process in circulatory system","42/1636","302/21288",0.000132905337994115,0.00610637728705774,0.00525282117105031,"ENSG00000117298/ENSG00000153904/ENSG00000133019/ENSG00000183023/ENSG00000115353/ENSG00000169554/ENSG00000131389/ENSG00000144668/ENSG00000144891/ENSG00000275163/ENSG00000197584/ENSG00000113889/ENSG00000145147/ENSG00000124406/ENSG00000118777/ENSG00000213949/ENSG00000112715/ENSG00000146648/ENSG00000135218/ENSG00000128512/ENSG00000120907/ENSG00000106688/ENSG00000107295/ENSG00000119139/ENSG00000165124/ENSG00000123454/ENSG00000185532/ENSG00000156113/ENSG00000186642/ENSG00000172572/ENSG00000139155/ENSG00000087245/ENSG00000179776/ENSG00000108405/ENSG00000074370/ENSG00000108684/ENSG00000108846/ENSG00000109062/ENSG00000171105/ENSG00000171873/ENSG00000158296/ENSG00000186716",42
"GO:0098703","BP","GO:0098703","calcium ion import across plasma membrane","12/1636","46/21288",0.000135275772101395,0.00611966781329465,0.00526425393294984,"ENSG00000198216/ENSG00000183023/ENSG00000157388/ENSG00000138814/ENSG00000155886/ENSG00000151067/ENSG00000204442/ENSG00000196557/ENSG00000167723/ENSG00000108405/ENSG00000141837/ENSG00000100346",12
"GO:1902656","BP","GO:1902656","calcium ion import into cytosol","12/1636","46/21288",0.000135275772101395,0.00611966781329465,0.00526425393294984,"ENSG00000198216/ENSG00000183023/ENSG00000157388/ENSG00000138814/ENSG00000155886/ENSG00000151067/ENSG00000204442/ENSG00000196557/ENSG00000167723/ENSG00000108405/ENSG00000141837/ENSG00000100346",12
"GO:0010469","BP","GO:0010469","regulation of signaling receptor activity","23/1636","130/21288",0.000136358382982862,0.00612155458261229,0.00526587696758243,"ENSG00000116288/ENSG00000143786/ENSG00000180875/ENSG00000132170/ENSG00000183662/ENSG00000189056/ENSG00000198010/ENSG00000167653/ENSG00000283992/ENSG00000196730/ENSG00000099250/ENSG00000014216/ENSG00000151746/ENSG00000129515/ENSG00000183092/ENSG00000237515/ENSG00000141503/ENSG00000188803/ENSG00000176108/ENSG00000170579/ENSG00000161681/ENSG00000186818/ENSG00000142192",23
"GO:0045332","BP","GO:0045332","phospholipid translocation","14/1636","60/21288",0.000142270474249478,0.00633858075046349,0.00545256697960919,"ENSG00000124406/ENSG00000145246/ENSG00000049656/ENSG00000118322/ENSG00000171044/ENSG00000206579/ENSG00000165029/ENSG00000134343/ENSG00000089041/ENSG00000132932/ENSG00000206190/ENSG00000081923/ENSG00000166377/ENSG00000054793",14
"GO:0055074","BP","GO:0055074","calcium ion homeostasis","47/1636","353/21288",0.000157766047607619,0.00697610621037901,0.00600097843135907,"ENSG00000162946/ENSG00000198626/ENSG00000183023/ENSG00000138039/ENSG00000143952/ENSG00000150995/ENSG00000114251/ENSG00000187672/ENSG00000197386/ENSG00000128052/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000155511/ENSG00000170624/ENSG00000050393/ENSG00000170927/ENSG00000137252/ENSG00000152822/ENSG00000105971/ENSG00000155897/ENSG00000155886/ENSG00000165995/ENSG00000107736/ENSG00000138193/ENSG00000129170/ENSG00000168959/ENSG00000137672/ENSG00000154127/ENSG00000151067/ENSG00000179104/ENSG00000089041/ENSG00000120659/ENSG00000151320/ENSG00000198838/ENSG00000091262/ENSG00000070729/ENSG00000179776/ENSG00000197943/ENSG00000064270/ENSG00000108405/ENSG00000074370/ENSG00000171791/ENSG00000182621/ENSG00000101333/ENSG00000149596/ENSG00000142192",47
"GO:0051963","BP","GO:0051963","regulation of synapse assembly","22/1636","123/21288",0.000160379165584069,0.0070173399200862,0.00603644844788915,"ENSG00000119878/ENSG00000179915/ENSG00000154764/ENSG00000114251/ENSG00000185008/ENSG00000154928/ENSG00000158258/ENSG00000152208/ENSG00000137462/ENSG00000135298/ENSG00000153707/ENSG00000174482/ENSG00000187764/ENSG00000166159/ENSG00000152767/ENSG00000185070/ENSG00000140557/ENSG00000065320/ENSG00000108684/ENSG00000105426/ENSG00000132639/ENSG00000142192",22
"GO:1990778","BP","GO:1990778","protein localization to cell periphery","50/1636","383/21288",0.000161464940702623,0.0070173399200862,0.00603644844788915,"ENSG00000067606/ENSG00000187889/ENSG00000116473/ENSG00000115306/ENSG00000175497/ENSG00000155744/ENSG00000178568/ENSG00000123983/ENSG00000153823/ENSG00000163539/ENSG00000163818/ENSG00000177707/ENSG00000075785/ENSG00000154310/ENSG00000075711/ENSG00000185774/ENSG00000138669/ENSG00000145362/ENSG00000152932/ENSG00000137177/ENSG00000124507/ENSG00000135324/ENSG00000079819/ENSG00000146648/ENSG00000130226/ENSG00000106688/ENSG00000165985/ENSG00000165995/ENSG00000151025/ENSG00000151150/ENSG00000187486/ENSG00000129170/ENSG00000155974/ENSG00000111052/ENSG00000183087/ENSG00000027075/ENSG00000166415/ENSG00000183454/ENSG00000064270/ENSG00000170310/ENSG00000109062/ENSG00000082397/ENSG00000170558/ENSG00000105649/ENSG00000160460/ENSG00000024422/ENSG00000104863/ENSG00000132639/ENSG00000158445/ENSG00000133424",50
"GO:0003007","BP","GO:0003007","heart morphogenesis","39/1636","276/21288",0.00016227822294367,0.0070173399200862,0.00603644844788915,"ENSG00000069702/ENSG00000198626/ENSG00000115641/ENSG00000163092/ENSG00000118257/ENSG00000163513/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000145147/ENSG00000168214/ENSG00000109472/ENSG00000184347/ENSG00000112715/ENSG00000112175/ENSG00000105877/ENSG00000049540/ENSG00000196411/ENSG00000164741/ENSG00000157168/ENSG00000104313/ENSG00000099250/ENSG00000108175/ENSG00000066468/ENSG00000133816/ENSG00000085741/ENSG00000137693/ENSG00000139174/ENSG00000139219/ENSG00000185070/ENSG00000128918/ENSG00000140416/ENSG00000154099/ENSG00000141519/ENSG00000198796/ENSG00000171105/ENSG00000101144/ENSG00000130700/ENSG00000184058",39
"GO:0099558","BP","GO:0099558","maintenance of synapse structure","9/1636","28/21288",0.000164855384222221,0.00707674828183124,0.00608755264365726,"ENSG00000187672/ENSG00000075711/ENSG00000135298/ENSG00000221866/ENSG00000175029/ENSG00000162105/ENSG00000082805/ENSG00000105649/ENSG00000161681",9
"GO:0035329","BP","GO:0035329","hippo signaling","12/1636","47/21288",0.000169069019735501,0.00720503554394552,0.00619790777153942,"ENSG00000144560/ENSG00000018408/ENSG00000283154/ENSG00000151967/ENSG00000173542/ENSG00000151718/ENSG00000113645/ENSG00000104375/ENSG00000187079/ENSG00000162105/ENSG00000137693/ENSG00000139926",12
"GO:0086065","BP","GO:0086065","cell communication involved in cardiac conduction","14/1636","61/21288",0.000171736485975871,0.00726605952535323,0.00625040175388139,"ENSG00000198626/ENSG00000183023/ENSG00000162989/ENSG00000185313/ENSG00000157388/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000080709/ENSG00000165995/ENSG00000183230/ENSG00000053918/ENSG00000151067/ENSG00000134755",14
"GO:0019933","BP","GO:0019933","cAMP-mediated signaling","16/1636","76/21288",0.000179283212661523,0.00753117552616011,0.00647845954925773,"ENSG00000184588/ENSG00000128655/ENSG00000145242/ENSG00000113448/ENSG00000284762/ENSG00000113231/ENSG00000132915/ENSG00000112541/ENSG00000154678/ENSG00000205268/ENSG00000186642/ENSG00000172572/ENSG00000121351/ENSG00000151320/ENSG00000141068/ENSG00000160191",16
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","46/1636","346/21288",0.000190703955270639,0.00789970969759445,0.00679547960991935,"ENSG00000171680/ENSG00000076864/ENSG00000119283/ENSG00000136002/ENSG00000196220/ENSG00000144711/ENSG00000163947/ENSG00000169855/ENSG00000160145/ENSG00000145147/ENSG00000138639/ENSG00000214944/ENSG00000113319/ENSG00000145819/ENSG00000134516/ENSG00000111913/ENSG00000146376/ENSG00000120278/ENSG00000146426/ENSG00000008256/ENSG00000106069/ENSG00000158321/ENSG00000189056/ENSG00000104728/ENSG00000164741/ENSG00000156011/ENSG00000046889/ENSG00000107099/ENSG00000107104/ENSG00000187764/ENSG00000165029/ENSG00000136848/ENSG00000136895/ENSG00000160293/ENSG00000099250/ENSG00000128805/ENSG00000107862/ENSG00000177106/ENSG00000186635/ENSG00000139132/ENSG00000182957/ENSG00000205336/ENSG00000159842/ENSG00000132359/ENSG00000156299/ENSG00000186716",46
"GO:0030177","BP","GO:0030177","positive regulation of Wnt signaling pathway","25/1636","150/21288",0.00019074286295841,0.00789970969759445,0.00679547960991935,"ENSG00000187147/ENSG00000116729/ENSG00000162946/ENSG00000143882/ENSG00000169554/ENSG00000187123/ENSG00000114251/ENSG00000168214/ENSG00000109320/ENSG00000155011/ENSG00000137462/ENSG00000164362/ENSG00000151292/ENSG00000135299/ENSG00000106483/ENSG00000146648/ENSG00000137573/ENSG00000234616/ENSG00000107104/ENSG00000066468/ENSG00000133794/ENSG00000137693/ENSG00000111186/ENSG00000179399/ENSG00000167191",25
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","53/1636","416/21288",0.000194437702370207,0.00796657619085652,0.00685299943139932,"ENSG00000162493/ENSG00000158055/ENSG00000132854/ENSG00000184588/ENSG00000183853/ENSG00000163554/ENSG00000198626/ENSG00000163171/ENSG00000115306/ENSG00000075340/ENSG00000115353/ENSG00000066032/ENSG00000169554/ENSG00000071909/ENSG00000163539/ENSG00000075711/ENSG00000145147/ENSG00000109265/ENSG00000145242/ENSG00000145362/ENSG00000145349/ENSG00000172403/ENSG00000113448/ENSG00000145703/ENSG00000145715/ENSG00000111859/ENSG00000146376/ENSG00000185345/ENSG00000049540/ENSG00000105887/ENSG00000104728/ENSG00000164741/ENSG00000170873/ENSG00000107104/ENSG00000099250/ENSG00000183230/ENSG00000186635/ENSG00000085741/ENSG00000151067/ENSG00000123338/ENSG00000084112/ENSG00000139926/ENSG00000273749/ENSG00000140416/ENSG00000103187/ENSG00000184009/ENSG00000134755/ENSG00000134775/ENSG00000160460/ENSG00000125753/ENSG00000161681/ENSG00000100034/ENSG00000075275",53
"GO:0098739","BP","GO:0098739","import across plasma membrane","33/1636","222/21288",0.000195066650481778,0.00796657619085652,0.00685299943139932,"ENSG00000177807/ENSG00000198216/ENSG00000183023/ENSG00000144191/ENSG00000162989/ENSG00000131389/ENSG00000157388/ENSG00000181804/ENSG00000075711/ENSG00000138814/ENSG00000113504/ENSG00000152822/ENSG00000135218/ENSG00000104635/ENSG00000106688/ENSG00000155886/ENSG00000053918/ENSG00000187486/ENSG00000165970/ENSG00000151067/ENSG00000139370/ENSG00000204442/ENSG00000156222/ENSG00000196557/ENSG00000167723/ENSG00000108405/ENSG00000133195/ENSG00000109062/ENSG00000141837/ENSG00000105143/ENSG00000105675/ENSG00000157542/ENSG00000100346",33
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","44/1636","327/21288",0.000198693657743878,0.00805874069787412,0.00693228108251963,"ENSG00000078900/ENSG00000162946/ENSG00000179915/ENSG00000154764/ENSG00000185008/ENSG00000169855/ENSG00000154928/ENSG00000158258/ENSG00000145147/ENSG00000018189/ENSG00000152208/ENSG00000137462/ENSG00000172201/ENSG00000112715/ENSG00000135298/ENSG00000146426/ENSG00000106571/ENSG00000146648/ENSG00000257923/ENSG00000189056/ENSG00000221866/ENSG00000137033/ENSG00000153707/ENSG00000174482/ENSG00000187764/ENSG00000099250/ENSG00000107954/ENSG00000171533/ENSG00000149256/ENSG00000168959/ENSG00000166159/ENSG00000136040/ENSG00000027075/ENSG00000185070/ENSG00000273749/ENSG00000157766/ENSG00000140557/ENSG00000007168/ENSG00000065320/ENSG00000108684/ENSG00000179242/ENSG00000184402/ENSG00000156299/ENSG00000171587",44
"GO:0060070","BP","GO:0060070","canonical Wnt signaling pathway","45/1636","337/21288",0.000201553861718807,0.00811875521074182,0.00698390670094151,"ENSG00000187147/ENSG00000116729/ENSG00000120332/ENSG00000162946/ENSG00000169554/ENSG00000187123/ENSG00000154764/ENSG00000144642/ENSG00000114251/ENSG00000082701/ENSG00000018408/ENSG00000168214/ENSG00000109320/ENSG00000155011/ENSG00000121210/ENSG00000169862/ENSG00000171444/ENSG00000151292/ENSG00000135299/ENSG00000185345/ENSG00000171243/ENSG00000106483/ENSG00000106571/ENSG00000002746/ENSG00000146648/ENSG00000104375/ENSG00000234616/ENSG00000107104/ENSG00000196781/ENSG00000136848/ENSG00000148737/ENSG00000066468/ENSG00000133794/ENSG00000085741/ENSG00000137693/ENSG00000111186/ENSG00000151490/ENSG00000139174/ENSG00000179399/ENSG00000015133/ENSG00000167191/ENSG00000196470/ENSG00000188803/ENSG00000109062/ENSG00000170558",45
"GO:0034332","BP","GO:0034332","adherens junction organization","14/1636","62/21288",0.000206321517965057,0.00825426426634353,0.00710047415209497,"ENSG00000145526/ENSG00000154162/ENSG00000113100/ENSG00000112715/ENSG00000170873/ENSG00000166689/ENSG00000150394/ENSG00000140937/ENSG00000179776/ENSG00000140945/ENSG00000170558/ENSG00000081138/ENSG00000149654/ENSG00000179242",14
"GO:0090090","BP","GO:0090090","negative regulation of canonical Wnt signaling pathway","25/1636","151/21288",0.000212204133054682,0.00843224666550396,0.00725357797625037,"ENSG00000120332/ENSG00000144642/ENSG00000114251/ENSG00000082701/ENSG00000018408/ENSG00000155011/ENSG00000121210/ENSG00000171444/ENSG00000135299/ENSG00000185345/ENSG00000171243/ENSG00000106483/ENSG00000106571/ENSG00000002746/ENSG00000104375/ENSG00000196781/ENSG00000136848/ENSG00000148737/ENSG00000085741/ENSG00000151490/ENSG00000139174/ENSG00000015133/ENSG00000188803/ENSG00000109062/ENSG00000170558",25
"GO:0098976","BP","GO:0098976","excitatory chemical synaptic transmission","6/1636","13/21288",0.000218388710278937,0.00861975842382837,0.00741487913529191,"ENSG00000184156/ENSG00000273079/ENSG00000084112/ENSG00000183454/ENSG00000188803/ENSG00000105464",6
"GO:0042552","BP","GO:0042552","myelination","27/1636","169/21288",0.000221717273752722,0.00866930207787488,0.00745749752302538,"ENSG00000184454/ENSG00000085998/ENSG00000177807/ENSG00000134324/ENSG00000115211/ENSG00000152128/ENSG00000063660/ENSG00000077092/ENSG00000170293/ENSG00000075711/ENSG00000145362/ENSG00000137462/ENSG00000172201/ENSG00000112367/ENSG00000104728/ENSG00000042832/ENSG00000148498/ENSG00000133812/ENSG00000149256/ENSG00000018236/ENSG00000273749/ENSG00000103089/ENSG00000082397/ENSG00000197971/ENSG00000088812/ENSG00000100030/ENSG00000133424",27
"GO:0021952","BP","GO:0021952","central nervous system projection neuron axonogenesis","9/1636","29/21288",0.000222835959996067,0.00866930207787488,0.00745749752302538,"ENSG00000154928/ENSG00000145147/ENSG00000221866/ENSG00000147862/ENSG00000182704/ENSG00000133083/ENSG00000140937/ENSG00000007168/ENSG00000160460",9
"GO:0006029","BP","GO:0006029","proteoglycan metabolic process","18/1636","93/21288",0.000224066300941503,0.00866930207787488,0.00745749752302538,"ENSG00000063660/ENSG00000164100/ENSG00000151388/ENSG00000111817/ENSG00000111962/ENSG00000147408/ENSG00000137573/ENSG00000122863/ENSG00000148737/ENSG00000139219/ENSG00000171310/ENSG00000185352/ENSG00000136378/ENSG00000103489/ENSG00000182601/ENSG00000153976/ENSG00000125430/ENSG00000124302",18
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","50/1636","389/21288",0.00023546139993466,0.00900389691785406,0.0077453223292148,"ENSG00000158055/ENSG00000142875/ENSG00000185630/ENSG00000198626/ENSG00000162849/ENSG00000143869/ENSG00000163513/ENSG00000114251/ENSG00000075711/ENSG00000145147/ENSG00000168214/ENSG00000121897/ENSG00000128052/ENSG00000168743/ENSG00000164305/ENSG00000151388/ENSG00000112715/ENSG00000170927/ENSG00000112175/ENSG00000120254/ENSG00000091831/ENSG00000171243/ENSG00000106571/ENSG00000170381/ENSG00000183117/ENSG00000164741/ENSG00000104313/ENSG00000104375/ENSG00000170873/ENSG00000106689/ENSG00000099250/ENSG00000066468/ENSG00000177030/ENSG00000133816/ENSG00000085741/ENSG00000137693/ENSG00000139174/ENSG00000187498/ENSG00000103811/ENSG00000154099/ENSG00000065320/ENSG00000153976/ENSG00000125430/ENSG00000141519/ENSG00000101680/ENSG00000171791/ENSG00000105696/ENSG00000125753/ENSG00000101144/ENSG00000075275",50
"GO:0060048","BP","GO:0060048","cardiac muscle contraction","25/1636","152/21288",0.000235776249846884,0.00900389691785406,0.0077453223292148,"ENSG00000184588/ENSG00000198929/ENSG00000198626/ENSG00000183023/ENSG00000162989/ENSG00000153253/ENSG00000144285/ENSG00000185313/ENSG00000157388/ENSG00000114279/ENSG00000075711/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000080709/ENSG00000170624/ENSG00000120907/ENSG00000165995/ENSG00000183230/ENSG00000053918/ENSG00000129170/ENSG00000151067/ENSG00000140416/ENSG00000134755/ENSG00000049759",25
"GO:0006941","BP","GO:0006941","striated muscle contraction","31/1636","206/21288",0.000240578184900265,0.00912800197031266,0.00785207984129491,"ENSG00000184588/ENSG00000198929/ENSG00000198626/ENSG00000183023/ENSG00000143952/ENSG00000162989/ENSG00000153253/ENSG00000144285/ENSG00000185313/ENSG00000157388/ENSG00000114279/ENSG00000075711/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000152413/ENSG00000080709/ENSG00000170624/ENSG00000120907/ENSG00000165995/ENSG00000183230/ENSG00000053918/ENSG00000129170/ENSG00000151067/ENSG00000132932/ENSG00000198838/ENSG00000140416/ENSG00000182253/ENSG00000134755/ENSG00000049759/ENSG00000133424",31
"GO:0043954","BP","GO:0043954","cellular component maintenance","16/1636","78/21288",0.00024604919890797,0.00921929719632168,0.00793061372045964,"ENSG00000183853/ENSG00000187672/ENSG00000075711/ENSG00000152413/ENSG00000111859/ENSG00000135298/ENSG00000221866/ENSG00000170873/ENSG00000175029/ENSG00000166689/ENSG00000162105/ENSG00000082805/ENSG00000273079/ENSG00000171105/ENSG00000105649/ENSG00000161681",16
"GO:1903115","BP","GO:1903115","regulation of actin filament-based movement","11/1636","42/21288",0.000246119649689254,0.00921929719632168,0.00793061372045964,"ENSG00000162493/ENSG00000184588/ENSG00000198626/ENSG00000169554/ENSG00000075711/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000183230/ENSG00000151067/ENSG00000134755",11
"GO:0001823","BP","GO:0001823","mesonephros development","20/1636","110/21288",0.000249345606680886,0.00928102223348284,0.00798371076421277,"ENSG00000185630/ENSG00000162849/ENSG00000077092/ENSG00000185008/ENSG00000075711/ENSG00000145147/ENSG00000168743/ENSG00000170365/ENSG00000112715/ENSG00000164619/ENSG00000106571/ENSG00000104313/ENSG00000066468/ENSG00000085741/ENSG00000109906/ENSG00000153976/ENSG00000125430/ENSG00000171791/ENSG00000105696/ENSG00000101144",20
"GO:0003012","BP","GO:0003012","muscle system process","59/1636","482/21288",0.000257450787955797,0.00952244077967322,0.00819138356117551,"ENSG00000184588/ENSG00000198929/ENSG00000198626/ENSG00000133019/ENSG00000183023/ENSG00000143952/ENSG00000143995/ENSG00000115353/ENSG00000162989/ENSG00000153253/ENSG00000144285/ENSG00000132170/ENSG00000185313/ENSG00000157388/ENSG00000114279/ENSG00000075711/ENSG00000163697/ENSG00000138814/ENSG00000168743/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000152413/ENSG00000080709/ENSG00000170624/ENSG00000146147/ENSG00000128512/ENSG00000122786/ENSG00000105887/ENSG00000188037/ENSG00000120907/ENSG00000198363/ENSG00000137573/ENSG00000165995/ENSG00000185532/ENSG00000183230/ENSG00000156113/ENSG00000138119/ENSG00000053918/ENSG00000129170/ENSG00000151067/ENSG00000076555/ENSG00000132932/ENSG00000151320/ENSG00000198838/ENSG00000140416/ENSG00000117971/ENSG00000182253/ENSG00000196557/ENSG00000108405/ENSG00000154229/ENSG00000108878/ENSG00000134755/ENSG00000049759/ENSG00000131196/ENSG00000130700/ENSG00000156299/ENSG00000160191/ENSG00000133424",59
"GO:0048593","BP","GO:0048593","camera-type eye morphogenesis","25/1636","153/21288",0.000261634578134483,0.00961670596255559,0.00827247225338372,"ENSG00000134376/ENSG00000143995/ENSG00000151090/ENSG00000114251/ENSG00000177707/ENSG00000154928/ENSG00000128052/ENSG00000218336/ENSG00000083857/ENSG00000112715/ENSG00000146555/ENSG00000106571/ENSG00000104237/ENSG00000178764/ENSG00000106688/ENSG00000198963/ENSG00000182704/ENSG00000132932/ENSG00000092200/ENSG00000103494/ENSG00000168610/ENSG00000069188/ENSG00000101144/ENSG00000171587/ENSG00000133424",25
"GO:0007272","BP","GO:0007272","ensheathment of neurons","27/1636","171/21288",0.000269653038211109,0.00978907109703413,0.00842074400027673,"ENSG00000184454/ENSG00000085998/ENSG00000177807/ENSG00000134324/ENSG00000115211/ENSG00000152128/ENSG00000063660/ENSG00000077092/ENSG00000170293/ENSG00000075711/ENSG00000145362/ENSG00000137462/ENSG00000172201/ENSG00000112367/ENSG00000104728/ENSG00000042832/ENSG00000148498/ENSG00000133812/ENSG00000149256/ENSG00000018236/ENSG00000273749/ENSG00000103089/ENSG00000082397/ENSG00000197971/ENSG00000088812/ENSG00000100030/ENSG00000133424",27
"GO:0008366","BP","GO:0008366","axon ensheathment","27/1636","171/21288",0.000269653038211109,0.00978907109703413,0.00842074400027673,"ENSG00000184454/ENSG00000085998/ENSG00000177807/ENSG00000134324/ENSG00000115211/ENSG00000152128/ENSG00000063660/ENSG00000077092/ENSG00000170293/ENSG00000075711/ENSG00000145362/ENSG00000137462/ENSG00000172201/ENSG00000112367/ENSG00000104728/ENSG00000042832/ENSG00000148498/ENSG00000133812/ENSG00000149256/ENSG00000018236/ENSG00000273749/ENSG00000103089/ENSG00000082397/ENSG00000197971/ENSG00000088812/ENSG00000100030/ENSG00000133424",27
"GO:0061448","BP","GO:0061448","connective tissue development","41/1636","303/21288",0.000286112341120523,0.0102560989448805,0.00882249018321189,"ENSG00000162599/ENSG00000143365/ENSG00000116132/ENSG00000133048/ENSG00000143869/ENSG00000132170/ENSG00000154764/ENSG00000077092/ENSG00000163513/ENSG00000114251/ENSG00000072840/ENSG00000109819/ENSG00000138669/ENSG00000170365/ENSG00000151388/ENSG00000174705/ENSG00000172201/ENSG00000112175/ENSG00000106571/ENSG00000147408/ENSG00000104635/ENSG00000134013/ENSG00000137573/ENSG00000132549/ENSG00000147862/ENSG00000150347/ENSG00000085741/ENSG00000182704/ENSG00000170962/ENSG00000109906/ENSG00000111186/ENSG00000134532/ENSG00000139219/ENSG00000171310/ENSG00000100596/ENSG00000136378/ENSG00000176624/ENSG00000101096/ENSG00000101144/ENSG00000159216/ENSG00000133424",41
"GO:0032288","BP","GO:0032288","myelin assembly","8/1636","24/21288",0.000287749757848203,0.0102560989448805,0.00882249018321189,"ENSG00000184454/ENSG00000063660/ENSG00000145362/ENSG00000137462/ENSG00000112367/ENSG00000149256/ENSG00000018236/ENSG00000082397",8
"GO:0060571","BP","GO:0060571","morphogenesis of an epithelial fold","8/1636","24/21288",0.000287749757848203,0.0102560989448805,0.00882249018321189,"ENSG00000143869/ENSG00000114251/ENSG00000112175/ENSG00000171243/ENSG00000146648/ENSG00000137573/ENSG00000066468/ENSG00000101144",8
