"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048675","BP","GO:0048675","axon extension","27/1636","130/21288",1.69099763114511e-06,0.00024861892671911,0.000213866700402195,"ENSG00000116147/ENSG00000162946/ENSG00000118257/ENSG00000114251/ENSG00000082701/ENSG00000145147/ENSG00000018189/ENSG00000092421/ENSG00000184347/ENSG00000112715/ENSG00000158321/ENSG00000170381/ENSG00000075213/ENSG00000091129/ENSG00000221866/ENSG00000187764/ENSG00000106689/ENSG00000099250/ENSG00000066084/ENSG00000133083/ENSG00000273749/ENSG00000137872/ENSG00000007168/ENSG00000065320/ENSG00000105426/ENSG00000179242/ENSG00000171587",27
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","59/1636","408/21288",1.87718816786643e-06,0.000264886745413546,0.000227860585553388,"ENSG00000067606/ENSG00000196581/ENSG00000162493/ENSG00000120332/ENSG00000162946/ENSG00000205221/ENSG00000169604/ENSG00000163539/ENSG00000144668/ENSG00000163638/ENSG00000153283/ENSG00000082701/ENSG00000154928/ENSG00000073849/ENSG00000128052/ENSG00000168743/ENSG00000173376/ENSG00000151388/ENSG00000213949/ENSG00000164176/ENSG00000145715/ENSG00000111859/ENSG00000112715/ENSG00000170927/ENSG00000157927/ENSG00000086289/ENSG00000135218/ENSG00000170381/ENSG00000105810/ENSG00000127990/ENSG00000128585/ENSG00000091879/ENSG00000164741/ENSG00000169499/ENSG00000107104/ENSG00000164946/ENSG00000165124/ENSG00000148484/ENSG00000099250/ENSG00000197467/ENSG00000165816/ENSG00000150760/ENSG00000110799/ENSG00000151490/ENSG00000198542/ENSG00000102606/ENSG00000183087/ENSG00000092445/ENSG00000137809/ENSG00000140937/ENSG00000140945/ENSG00000141503/ENSG00000184009/ENSG00000171791/ENSG00000156299/ENSG00000100034/ENSG00000186716/ENSG00000188677/ENSG00000077942",59
"GO:0051592","BP","GO:0051592","response to calcium ion","30/1636","154/21288",1.89172645933837e-06,0.000264886745413546,0.000227860585553388,"ENSG00000134207/ENSG00000143473/ENSG00000198626/ENSG00000143952/ENSG00000115840/ENSG00000114251/ENSG00000198829/ENSG00000275163/ENSG00000197584/ENSG00000138814/ENSG00000145349/ENSG00000152413/ENSG00000164199/ENSG00000146648/ENSG00000004864/ENSG00000155897/ENSG00000184156/ENSG00000196139/ENSG00000156113/ENSG00000019505/ENSG00000089041/ENSG00000132965/ENSG00000100600/ENSG00000198838/ENSG00000069869/ENSG00000103528/ENSG00000197943/ENSG00000197586/ENSG00000158445/ENSG00000101096",30
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","57/1636","390/21288",1.99121901968127e-06,0.00027233393150571,0.000234266795803872,"ENSG00000162493/ENSG00000085998/ENSG00000069702/ENSG00000143196/ENSG00000116147/ENSG00000205221/ENSG00000169604/ENSG00000169031/ENSG00000132170/ENSG00000163539/ENSG00000163638/ENSG00000163697/ENSG00000029559/ENSG00000168743/ENSG00000173376/ENSG00000038295/ENSG00000151388/ENSG00000174705/ENSG00000050767/ENSG00000087116/ENSG00000082293/ENSG00000196569/ENSG00000215018/ENSG00000049540/ENSG00000164692/ENSG00000105971/ENSG00000147408/ENSG00000134013/ENSG00000137573/ENSG00000132561/ENSG00000169436/ENSG00000178031/ENSG00000197859/ENSG00000197467/ENSG00000138316/ENSG00000095587/ENSG00000172987/ENSG00000139174/ENSG00000139219/ENSG00000136167/ENSG00000187498/ENSG00000134871/ENSG00000183087/ENSG00000185070/ENSG00000166415/ENSG00000187720/ENSG00000136378/ENSG00000140470/ENSG00000087245/ENSG00000101680/ENSG00000167754/ENSG00000124159/ENSG00000142192/ENSG00000159216/ENSG00000133424/ENSG00000187045/ENSG00000077942",57
"GO:0006813","BP","GO:0006813","potassium ion transport","42/1636","255/21288",2.12436972923325e-06,0.000283941326764107,0.000244251696619497,"ENSG00000162494/ENSG00000177301/ENSG00000143603/ENSG00000177807/ENSG00000198929/ENSG00000143473/ENSG00000182901/ENSG00000175497/ENSG00000162989/ENSG00000157388/ENSG00000181804/ENSG00000275163/ENSG00000197584/ENSG00000075711/ENSG00000127419/ENSG00000185774/ENSG00000145362/ENSG00000113504/ENSG00000080709/ENSG00000182132/ENSG00000106633/ENSG00000130226/ENSG00000184156/ENSG00000155886/ENSG00000151150/ENSG00000156113/ENSG00000107593/ENSG00000053918/ENSG00000187486/ENSG00000129159/ENSG00000091664/ENSG00000102452/ENSG00000151320/ENSG00000100433/ENSG00000069869/ENSG00000168418/ENSG00000049759/ENSG00000105675/ENSG00000132639/ENSG00000158445/ENSG00000157542/ENSG00000133424",42
"GO:0007611","BP","GO:0007611","learning or memory","50/1636","327/21288",2.27153723672642e-06,0.000296864677537513,0.000255368607244613,"ENSG00000067606/ENSG00000162761/ENSG00000116147/ENSG00000138031/ENSG00000179915/ENSG00000115353/ENSG00000158258/ENSG00000197386/ENSG00000124406/ENSG00000188993/ENSG00000137462/ENSG00000164305/ENSG00000284762/ENSG00000113231/ENSG00000152495/ENSG00000155511/ENSG00000111859/ENSG00000124788/ENSG00000183826/ENSG00000135298/ENSG00000185345/ENSG00000105877/ENSG00000146648/ENSG00000189056/ENSG00000174469/ENSG00000183117/ENSG00000155897/ENSG00000106688/ENSG00000155886/ENSG00000078725/ENSG00000123454/ENSG00000162105/ENSG00000168959/ENSG00000273079/ENSG00000198673/ENSG00000021645/ENSG00000100433/ENSG00000100600/ENSG00000186297/ENSG00000183454/ENSG00000157045/ENSG00000007168/ENSG00000171105/ENSG00000105662/ENSG00000161681/ENSG00000182621/ENSG00000132639/ENSG00000142192/ENSG00000100030/ENSG00000133424",50
"GO:0007612","BP","GO:0007612","learning","31/1636","165/21288",2.85495301167823e-06,0.000359675652842576,0.000309399795516592,"ENSG00000116147/ENSG00000138031/ENSG00000179915/ENSG00000115353/ENSG00000158258/ENSG00000197386/ENSG00000124406/ENSG00000137462/ENSG00000284762/ENSG00000113231/ENSG00000124788/ENSG00000135298/ENSG00000185345/ENSG00000189056/ENSG00000174469/ENSG00000183117/ENSG00000106688/ENSG00000155886/ENSG00000123454/ENSG00000162105/ENSG00000168959/ENSG00000198673/ENSG00000021645/ENSG00000100600/ENSG00000186297/ENSG00000183454/ENSG00000171105/ENSG00000161681/ENSG00000182621/ENSG00000132639/ENSG00000142192",31
"GO:0048638","BP","GO:0048638","regulation of developmental growth","52/1636","348/21288",2.87446959421885e-06,0.000359675652842576,0.000309399795516592,"ENSG00000078900/ENSG00000069702/ENSG00000143194/ENSG00000116147/ENSG00000162946/ENSG00000178568/ENSG00000144560/ENSG00000114251/ENSG00000082701/ENSG00000168214/ENSG00000018189/ENSG00000151718/ENSG00000092421/ENSG00000053108/ENSG00000113645/ENSG00000112715/ENSG00000185345/ENSG00000170381/ENSG00000075213/ENSG00000091129/ENSG00000221866/ENSG00000104375/ENSG00000235387/ENSG00000187764/ENSG00000099250/ENSG00000166224/ENSG00000095587/ENSG00000066468/ENSG00000137693/ENSG00000066084/ENSG00000076555/ENSG00000132932/ENSG00000151320/ENSG00000100600/ENSG00000273749/ENSG00000137872/ENSG00000103528/ENSG00000007168/ENSG00000065320/ENSG00000168610/ENSG00000008294/ENSG00000049759/ENSG00000171791/ENSG00000105426/ENSG00000171105/ENSG00000160460/ENSG00000088812/ENSG00000182621/ENSG00000179242/ENSG00000142192/ENSG00000159216/ENSG00000171587",52
"GO:0086002","BP","GO:0086002","cardiac muscle cell action potential involved in contraction","17/1636","63/21288",3.51311569556444e-06,0.000430429862616969,0.000370263904229884,"ENSG00000198929/ENSG00000198626/ENSG00000162989/ENSG00000153253/ENSG00000144285/ENSG00000185313/ENSG00000157388/ENSG00000114279/ENSG00000075711/ENSG00000145362/ENSG00000080709/ENSG00000165995/ENSG00000183230/ENSG00000053918/ENSG00000151067/ENSG00000134755/ENSG00000049759",17
"GO:0030011","BP","GO:0030011","maintenance of cell polarity","9/1636","19/21288",4.15889494857578e-06,0.000499152269236208,0.000429380217461981,"ENSG00000082701/ENSG00000151914/ENSG00000106689/ENSG00000107438/ENSG00000085741/ENSG00000123338/ENSG00000111052/ENSG00000109062/ENSG00000104863",9
"GO:0021543","BP","GO:0021543","pallium development","37/1636","219/21288",4.59687320367738e-06,0.000540684226216533,0.000465106791934178,"ENSG00000085998/ENSG00000173406/ENSG00000177301/ENSG00000162761/ENSG00000162946/ENSG00000171094/ENSG00000169855/ENSG00000082701/ENSG00000145147/ENSG00000145242/ENSG00000164305/ENSG00000155511/ENSG00000112137/ENSG00000172201/ENSG00000164600/ENSG00000106571/ENSG00000146648/ENSG00000105810/ENSG00000189056/ENSG00000174469/ENSG00000147316/ENSG00000167632/ENSG00000136848/ENSG00000106689/ENSG00000108175/ENSG00000138162/ENSG00000182704/ENSG00000149571/ENSG00000205476/ENSG00000205336/ENSG00000007168/ENSG00000170558/ENSG00000105426/ENSG00000125505/ENSG00000182621/ENSG00000159131/ENSG00000133424",37
"GO:0007605","BP","GO:0007605","sensory perception of sound","31/1636","170/21288",5.43465202532999e-06,0.000626689971783641,0.00053909056003583,"ENSG00000085998/ENSG00000042781/ENSG00000071909/ENSG00000169031/ENSG00000196277/ENSG00000151090/ENSG00000157388/ENSG00000164305/ENSG00000164199/ENSG00000111913/ENSG00000187416/ENSG00000104313/ENSG00000184156/ENSG00000150275/ENSG00000107736/ENSG00000177106/ENSG00000053918/ENSG00000166833/ENSG00000137474/ENSG00000149972/ENSG00000139219/ENSG00000139767/ENSG00000108684/ENSG00000109062/ENSG00000167210/ENSG00000081923/ENSG00000197971/ENSG00000160460/ENSG00000149488/ENSG00000184058/ENSG00000133424",31
"GO:0009612","BP","GO:0009612","response to mechanical stimulus","39/1636","239/21288",6.08129638711483e-06,0.000687771231781198,0.00059163381450352,"ENSG00000120949/ENSG00000133048/ENSG00000198626/ENSG00000183023/ENSG00000179915/ENSG00000115353/ENSG00000144285/ENSG00000154767/ENSG00000197386/ENSG00000109320/ENSG00000164199/ENSG00000158683/ENSG00000146648/ENSG00000105887/ENSG00000174469/ENSG00000091879/ENSG00000120889/ENSG00000184156/ENSG00000137033/ENSG00000165209/ENSG00000107593/ENSG00000053918/ENSG00000129159/ENSG00000129170/ENSG00000134343/ENSG00000186642/ENSG00000085741/ENSG00000169372/ENSG00000089041/ENSG00000132932/ENSG00000087245/ENSG00000166473/ENSG00000103335/ENSG00000108684/ENSG00000154864/ENSG00000170558/ENSG00000141655/ENSG00000149488/ENSG00000133424",39
"GO:0016055","BP","GO:0016055","Wnt signaling pathway","66/1636","492/21288",6.45519040291767e-06,0.000716282542633185,0.000616159783047117,"ENSG00000158055/ENSG00000187147/ENSG00000269113/ENSG00000116729/ENSG00000120332/ENSG00000162946/ENSG00000143882/ENSG00000169554/ENSG00000187123/ENSG00000144560/ENSG00000154764/ENSG00000144642/ENSG00000114251/ENSG00000163637/ENSG00000082701/ENSG00000018408/ENSG00000154310/ENSG00000168214/ENSG00000109320/ENSG00000155011/ENSG00000121210/ENSG00000137462/ENSG00000109472/ENSG00000164362/ENSG00000169862/ENSG00000171444/ENSG00000151292/ENSG00000135299/ENSG00000185345/ENSG00000171243/ENSG00000106483/ENSG00000106571/ENSG00000002746/ENSG00000106070/ENSG00000146648/ENSG00000187391/ENSG00000137573/ENSG00000104375/ENSG00000234616/ENSG00000107104/ENSG00000196781/ENSG00000169071/ENSG00000136848/ENSG00000148737/ENSG00000066468/ENSG00000133794/ENSG00000085741/ENSG00000182704/ENSG00000137693/ENSG00000111186/ENSG00000151490/ENSG00000139174/ENSG00000179399/ENSG00000015133/ENSG00000167191/ENSG00000196470/ENSG00000186153/ENSG00000197943/ENSG00000188803/ENSG00000109062/ENSG00000173821/ENSG00000170558/ENSG00000198796/ENSG00000142192/ENSG00000156299/ENSG00000075275",66
