"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","36/801","391/8541",0.573970208685492,0.859691061467257,0.654749229476611,"110117499/1131/9167/4705/3708/7476/776/7474/2932/5602/5530/4790/27123/836/7979/23516/9821/823/7481/2915/81029/775/2904/55967/6263/2903/489/5717/5691/201266/3643/2906/23236/5332/351/5594",36
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","6/801","65/8541",0.578809356114714,0.863136759118433,0.657373506944689,"23175/154141/1607/80168/3990/9663",6
"hsa04215","Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","3/801","32/8541",0.588517264615967,0.871776439423551,0.663953573059423,"5602/836/596",3
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","14/801","154/8541",0.590266117617987,0.871776439423551,0.663953573059423,"205/23498/11019/7363/441024/6999/133686/25902/27010/7390/586/79001/1723/8566",14
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","18/801","198/8541",0.592295169137765,0.871776439423551,0.663953573059423,"5081/5087/6258/4211/5468/7048/942/4790/4086/8464/2138/7704/2313/9915/26039/861/7113/3560",18
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","13/801","144/8541",0.600328460337153,0.874931779021961,0.666356710957902,"23175/2932/10891/79966/5602/4790/836/51422/6934/32/7187/9663/3929",13
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","17/801","188/8541",0.600812160561322,0.874931779021961,0.666356710957902,"5567/2786/814/9734/2792/53358/116443/55506/2904/51564/54331/399694/2903/25759/2788/2906/5594",17
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","9/801","100/8541",0.602627242934393,0.874931779021961,0.666356710957902,"1378/1379/3568/3672/3122/3119/3112/3111/948",9
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/801","78/8541",0.606171509431869,0.874931779021961,0.666356710957902,"114548/5602/4790/836/10392/710/5594",7
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","6/801","67/8541",0.609151553775892,0.874931779021961,0.666356710957902,"5236/2645/80201/3945/5213/92579",6
"hsa04130","Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","3/801","33/8541",0.609878916553543,0.874931779021961,0.666356710957902,"53407/9482/8675",3
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/801","56/8541",0.613484533963515,0.876406477090735,0.667479855617092,"1378/1379/4790/7097/836",5
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","25/801","278/8541",0.619699486845948,0.878294304743351,0.668917643860261,"110117499/5567/6262/9167/4705/3708/776/2932/5602/5530/836/730/7979/858/116443/775/2904/55967/6263/2903/5717/5691/2906/4685/5594",25
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","14/801","157/8541",0.619972450407071,0.878294304743351,0.668917643860261,"110117499/3708/7048/776/5530/4790/1871/896/1021/823/2113/4772/4773/5594",14
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","6/801","68/8541",0.623861566703017,0.880136650120439,0.670320792351789,"10170/316/7363/9227/8608/8854",6
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","15/801","169/8541",0.628784474296243,0.880704534794723,0.670753298945826,"110117499/5567/3708/7879/5602/83734/9821/1612/5588/7405/23604/9110/57521/596/5594",15
"hsa01212","Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","5/801","57/8541",0.629444711632699,0.880704534794723,0.670753298945826,"2181/201562/79966/3295/35",5
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","14/801","159/8541",0.639193852230571,0.890679958026205,0.678350680106645,"110117499/2932/4790/836/5521/1871/1956/1021/949/7187/6774/23562/4600/5594",14
"hsa00240","Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","5/801","58/8541",0.644998974078945,0.895100617089148,0.681717497844986,"978/1806/1723/955/54963",5
"hsa00220","Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","2/801","23/8541",0.6493893407003,0.897529983081715,0.683567727052947,"445/2746",2
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","18/801","205/8541",0.652476182966105,0.898145353070751,0.684036398933142,"110117499/5567/6672/1232/1739/3516/4790/836/896/8379/9734/1021/27044/51564/7187/1387/6774/5594",18
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","10/801","116/8541",0.657946566182291,0.902023518153141,0.68699004788134,"84693/5096/2645/80201/2746/5213/35/8803/3418/54363",10
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","12/801","139/8541",0.662343008458876,0.904404107935815,0.688803128644614,"5567/109/3708/5530/817/8379/114/89869/51434/5527/115/5594",12
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","6/801","71/8541",0.66602224336977,0.905790250982887,0.689858828921951,"2052/7363/4258/2940/9/4257",6
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","3/801","36/8541",0.669396232503261,0.906751868729516,0.690591206524647,"7173/316/1621",3
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","8/801","95/8541",0.677943229465995,0.914685309596978,0.696633393686863,"132014/2932/5602/4790/836/7187/1994/5594",8
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","6/801","73/8541",0.69241309896071,0.921046482476045,0.701478125972468,"2330/316/7363/4258/2940/4257",6
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","6/801","73/8541",0.69241309896071,0.921046482476045,0.701478125972468,"110117499/1871/1956/1021/80310/5594",6
"hsa00130","Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/801","12/8541",0.693493822099611,0.921046482476045,0.701478125972468,"79001",1
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","1/801","12/8541",0.693493822099611,0.921046482476045,0.701478125972468,"4685",1
"hsa00520","Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","4/801","50/8541",0.702516789470977,0.929399643658101,0.707839976284498,"5236/2762/2645/80201",4
"hsa00592","Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","2/801","26/8541",0.715253980598002,0.942582765129149,0.717880372203625,"151056/255189",2
"hsa03450","Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","1/801","13/8541",0.722279312602391,0.944814807829944,0.719580318037666,"27434",1
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","17/801","203/8541",0.725261005204036,0.944814807829944,0.719580318037666,"114548/4430/4691/8743/5602/4790/836/9265/8795/3071/23191/4641/4642/9368/71/23562/5594",17
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","9/801","111/8541",0.725284308363574,0.944814807829944,0.719580318037666,"110117499/5567/109/5602/8379/114/51434/115/5594",9
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","4/801","52/8541",0.731654652561376,0.949475503323923,0.723129949899954,"64902/3945/586/84245",4
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","16/801","193/8541",0.735745527826781,0.951153914300781,0.724408244328149,"110117499/1378/1379/4790/7097/9734/55506/7450/51564/5336/5578/71/2359/23236/5332/5594",16
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","15/801","182/8541",0.739214346106609,0.952018476046391,0.725066703118923,"110117499/8890/6672/4790/7097/836/340061/3122/3119/3112/6891/3111/8683/7187/596",15
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","21/801","251/8541",0.742868087529191,0.953113772678961,0.725900891885525,"114548/7879/8743/5602/4790/7097/836/9265/10392/1780/60412/8795/6934/79659/3071/8655/1778/23191/71/596/5594",21
"hsa00533","Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/801","14/8541",0.748364475665886,0.956556096715794,0.728522599975496,"10678",1
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","26/801","311/8541",0.762598645826391,0.968014220365334,0.737249220464001,"3766/9167/4705/3708/5468/3064/10891/5602/836/2890/1769/8701/3092/7979/9821/2915/2904/55967/1387/55567/1770/5717/5691/8632/23236/5332",26
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","6/801","79/8541",0.763022973699734,0.968014220365334,0.737249220464001,"2052/7363/4258/2940/4257/27294",6
"hsa00513","Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","3/801","42/8541",0.767817653612505,0.97047584471469,0.73912401795608,"199857/283358/64377",3
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/801","81/8541",0.783700999983057,0.982616552922644,0.748370501606719,"3122/3119/3112/6891/3111/5641",6
"hsa00020","Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","2/801","30/8541",0.786605878333778,0.982616552922644,0.748370501606719,"8803/3418",2
"hsa00591","Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","2/801","30/8541",0.786605878333778,0.982616552922644,0.748370501606719,"151056/255189",2
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","15/801","189/8541",0.788983291023182,0.982616552922644,0.748370501606719,"114548/84168/3708/5602/4790/340061/10392/59082/5027/7187/4210/596/23236/5332/5594",15
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","2/801","31/8541",0.801791235599429,0.986245955088748,0.75113469025335,"5236/5213",2
"hsa03060","Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","2/801","31/8541",0.801791235599429,0.986245955088748,0.75113469025335,"6726/83943",2
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","6/801","83/8541",0.802982742793678,0.986245955088748,0.75113469025335,"114548/4790/836/340061/90865/4210",6
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","1/801","17/8541",0.812832073067148,0.986245955088748,0.75113469025335,"3295",1
"hsa00450","Metabolism","Metabolism of other amino acids","hsa00450","Selenocompound metabolism","1/801","17/8541",0.812832073067148,0.986245955088748,0.75113469025335,"114112",1
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","8/801","109/8541",0.814107936794399,0.986245955088748,0.75113469025335,"110117499/942/5602/4790/7097/7187/3929/5594",8
"hsa04136","Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","2/801","32/8541",0.81600950033166,0.986245955088748,0.75113469025335,"83734/57521",2
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","4/801","59/8541",0.816748828783196,0.986245955088748,0.75113469025335,"4258/2940/4257/3418",4
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","3/801","46/8541",0.81913805957887,0.986245955088748,0.75113469025335,"7979/5717/5691",3
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","6/801","85/8541",0.820904721441517,0.986245955088748,0.75113469025335,"978/205/9615/955/54963/51816",6
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","3/801","47/8541",0.830352787645234,0.990676773980249,0.754509245817775,"98/3945/32",3
"hsa00511","Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","1/801","18/8541",0.830420237012856,0.990676773980249,0.754509245817775,"4126",1
"hsa03272",NA,NA,"hsa03272","Virion - Hepatitis viruses","3/801","48/8541",0.8409655122308,0.998983138716476,0.760835455493044,"1956/949/23562",3
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","5/801","76/8541",0.852571492644565,0.998983138716476,0.760835455493044,"6258/2181/5468/79966/948",5
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","4/801","63/8541",0.854530406560218,0.998983138716476,0.760835455493044,"7363/8644/3294/6820",4
"hsa00310","Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","4/801","63/8541",0.854530406560218,0.998983138716476,0.760835455493044,"64754/6419/2122/55526",4
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","17/801","227/8541",0.867312808313122,0.998983138716476,0.760835455493044,"110117499/253152/405/2052/9167/4705/5602/4790/4258/7422/2940/1956/8644/4257/55967/5338/5594",17
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","8/801","119/8541",0.880790180568129,0.998983138716476,0.760835455493044,"110117499/5602/4790/836/153090/8986/7187/5594",8
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","11/801","157/8541",0.881883559198903,0.998983138716476,0.760835455493044,"110117499/9167/4705/5468/2932/5602/4790/836/51422/55967/3643",11
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","2/801","38/8541",0.883628535538968,0.998983138716476,0.760835455493044,"316/133686",2
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","2/801","38/8541",0.883628535538968,0.998983138716476,0.760835455493044,"6891/7374",2
"hsa00340","Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","1/801","22/8541",0.885740705918896,0.998983138716476,0.760835455493044,"3176",1
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","11/801","158/8541",0.886640646190336,0.998983138716476,0.760835455493044,"2932/10274/902/1871/896/8379/1021/51434/5527/1387/114799",11
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","9/801","133/8541",0.887469516184137,0.998983138716476,0.760835455493044,"285362/4126/8546/6677/5641/1512/57707/22901/23335",9
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","3/801","54/8541",0.893286223574953,0.998983138716476,0.760835455493044,"199857/4249/6480",3
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","1/801","23/8541",0.896483949792468,0.998983138716476,0.760835455493044,"57107",1
"hsa03430","Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","1/801","23/8541",0.896483949792468,0.998983138716476,0.760835455493044,"9156",1
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","1/801","23/8541",0.896483949792468,0.998983138716476,0.760835455493044,"2746",1
"hsa04146","Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","5/801","83/8541",0.899976957223657,0.998983138716476,0.760835455493044,"2181/3295/8528/3418/54363",5
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","2/801","41/8541",0.908040601719075,0.998983138716476,0.760835455493044,"64902/29958",2
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","9/801","138/8541",0.910412047151582,0.998983138716476,0.760835455493044,"245973/9167/90423/4705/8992/64077/55967/495/529",9
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","28/801","371/8541",0.911184357093935,0.998983138716476,0.760835455493044,"9167/2066/4705/25978/5530/836/2890/1769/9896/5071/8701/3181/7979/3084/9821/10718/2904/55967/2903/55567/642659/1770/5717/5691/8632/71/596/2906",28
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/801","42/8541",0.915051749124403,0.998983138716476,0.760835455493044,"2181/23516",2
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","4/801","72/8541",0.915978930387835,0.998983138716476,0.760835455493044,"5602/4790/340061/7187",4
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","2/801","43/8541",0.921558698495443,0.998983138716476,0.760835455493044,"2181/35",2
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","9/801","141/8541",0.922180360450711,0.998983138716476,0.760835455493044,"942/730/3122/3119/3112/3111/55506/2904/2903",9
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","11/801","168/8541",0.926115062947694,0.998983138716476,0.760835455493044,"163702/110117499/149233/316/3568/896/1956/1387/6774/596/3560",11
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","2/801","44/8541",0.927594211439465,0.998983138716476,0.760835455493044,"902/129685",2
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","6/801","103/8541",0.929956460087081,0.998983138716476,0.760835455493044,"5523/5521/11052/5527/124540/5976",6
"hsa00062","Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","1/801","27/8541",0.930270044401758,0.998983138716476,0.760835455493044,"201562",1
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","4/801","75/8541",0.930586833360728,0.998983138716476,0.760835455493044,"445/586/5213/3418",4
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","7/801","117/8541",0.931399978922862,0.998983138716476,0.760835455493044,"57504/57492/55506/11177/10933/71/26039",7
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","3/801","61/8541",0.934428745434774,0.998983138716476,0.760835455493044,"6546/10568/140803",3
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","16/801","235/8541",0.936509157301817,0.998983138716476,0.760835455493044,"5567/109/9167/2181/4705/5468/10891/5593/57492/51422/114/5592/55967/115/57521/71",16
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","6/801","105/8541",0.937396342544671,0.998983138716476,0.760835455493044,"7879/5602/5071/665/6477/55288",6
"hsa00860","Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","2/801","46/8541",0.938373497531018,0.998983138716476,0.760835455493044,"7363/7390",2
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","3/801","63/8541",0.943157610376438,0.998983138716476,0.760835455493044,"151056/8644/255189",3
"hsa03420","Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","3/801","63/8541",0.943157610376438,0.998983138716476,0.760835455493044,"7508/902/2072",3
"hsa00053","Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","1/801","30/8541",0.948159097943725,0.999993247076909,0.761604764027615,"7363",1
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","3/801","66/8541",0.954248886008432,0.999993247076909,0.761604764027615,"10352/10667/123283",3
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","18/801","271/8541",0.958608812230607,0.999993247076909,0.761604764027615,"11315/5567/9167/4705/3708/5602/817/836/5071/7979/23516/55967/6263/10131/5717/5691/201266/7332",18
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","10/801","170/8541",0.963903682101259,0.999993247076909,0.761604764027615,"55432/5602/5071/823/10970/5611/8720/55666/596/6238",10
"hsa03020","Genetic Information Processing","Transcription","hsa03020","RNA polymerase","1/801","34/8541",0.96509112259443,0.999993247076909,0.761604764027615,"10849",1
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","5/801","102/8541",0.968407559181875,0.999993247076909,0.761604764027615,"3122/3119/3112/3111/2359",5
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","19/801","298/8541",0.976867750495367,0.999993247076909,0.761604764027615,"943/163702/149233/7292/151449/92/3568/132014/7048/1232/8743/653/8795/90865/55504/8600/8792/655/3560",19
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","3/801","78/8541",0.981352351432217,0.999993247076909,0.761604764027615,"87178/23404/5213",3
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","7/801","142/8541",0.983435834784652,0.999993247076909,0.761604764027615,"9039/5071/51434/4734/6477/23327/7332",7
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","1/801","44/8541",0.987021556215495,0.999993247076909,0.761604764027615,"7374",1
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","19/801","312/8541",0.98735077149385,0.999993247076909,0.761604764027615,"110117499/63923/7143/9839/4790/836/1871/7422/1956/1021/399694/7168/1387/5336/6774/5578/57521/596/5594",19
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","4/801","100/8541",0.987492466813426,0.999993247076909,0.761604764027615,"1232/8743/8795/3560",4
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","1/801","50/8541",0.992836266297824,0.999993247076909,0.761604764027615,"4942",1
"hsa03460","Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","1/801","55/8541",0.995635609194073,0.999993247076909,0.761604764027615,"2072",1
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","3/801","108/8541",0.998299800083578,0.999993247076909,0.761604764027615,"25909/5976/5905",3
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","8/801","217/8541",0.999657749828273,0.999993247076909,0.761604764027615,"51362/9092/8683/3183/642659/56259/7307/102724594",8
"hsa04740","Organismal Systems","Sensory system","hsa04740","Olfactory transduction","23/801","453/8541",0.99982056253543,0.999993247076909,0.761604764027615,"5567/391114/128372/127623/109/6546/1261/5593/817/5137/392138/83988/347169/5592/119682/144125/219957/5138/390265/283159/57101/1258/2788",23
"hsa03008","Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","4/801","168/8541",0.99994006689556,0.999993247076909,0.761604764027615,"10199/29102/134430/10940",4
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","3/801","172/8541",0.999993247076909,0.999993247076909,0.761604764027615,"6146/6157/6203",3
