"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04981",NA,NA,"hsa04981","Folate transport and metabolism","5/801","31/8541",0.15996656902285,0.407157249148423,0.310094994707468,"9429/2352/115072896/10599/8714",5
"hsa00604","Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","3/801","15/8541",0.16046785701732,0.407157249148423,0.310094994707468,"81849/8869/9197",3
"hsa04614","Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","4/801","23/8541",0.163604975235306,0.412042159851882,0.313815391094622,"185/1359/2028/57486",4
"hsa00052","Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","5/801","32/8541",0.17595550542622,0.439888763565551,0.335023640362618,"5236/2645/80201/5213/92579",5
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","28/801","250/8541",0.184300556774612,0.45498075955139,0.346517854023659,"110117499/114548/3708/2932/55752/5602/4790/340061/9265/10392/989/1956/5588/80201/51196/1793/823/89869/83660/5336/57521/71/596/23236/5332/7307/102724594/5594",28
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","8/801","59/8541",0.184668661229682,0.45498075955139,0.346517854023659,"110117499/5567/109/5593/114/5592/115/3643",8
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","17/801","144/8541",0.191016977284913,0.467235771776045,0.355851392745843,"110117499/4211/92/7476/7474/2932/10336/56916/4086/3400/84333/2263/7481/81029/463/6774/5594",17
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","7/801","51/8541",0.197613558029702,0.479918640929276,0.365510791543659,"338/57552/948/19/114879/949/3990",7
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","23/801","204/8541",0.203373052166303,0.49040310451449,0.373495862881005,"110117499/919/3516/5602/4790/7097/836/1871/3122/3119/3112/6891/3111/896/1021/7979/9612/7187/4734/5336/5717/6774/596",23
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","12/801","98/8541",0.20549433388976,0.491485338720325,0.374320103173994,"110117499/2932/4790/1871/1956/6934/2263/80310/1387/596/7113/5594",12
"hsa00430","Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","3/801","17/8541",0.209494223699974,0.491485338720325,0.374320103173994,"2330/2571/339896",3
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","5/801","34/8541",0.20960404151308,0.491485338720325,0.374320103173994,"5208/2762/5209/80201/5213",5
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","5/801","34/8541",0.20960404151308,0.491485338720325,0.374320103173994,"6097/51422/6096/406/6095",5
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","9/801","71/8541",0.218446506938169,0.505350009404531,0.384879573726052,"110117499/2645/1956/80201/2263/3945/5213/3418/5594",9
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","8/801","62/8541",0.22221457807467,0.505350009404531,0.384879573726052,"110117499/5567/109/51422/114/115/57521/3643",8
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","8/801","62/8541",0.22221457807467,0.505350009404531,0.384879573726052,"3516/55534/6310/7088/1488/1840/9612/1387",8
"hsa04950","Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","4/801","26/8541",0.222931287787631,0.505350009404531,0.384879573726052,"2645/3174/3375/3172",4
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","22/801","197/8541",0.222948533560823,0.505350009404531,0.384879573726052,"22920/55083/140469/4430/63971/1769/8701/1780/347240/4647/79659/8655/23026/1778/7168/55567/4641/1770/4642/8632/71/84700",22
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","7/801","53/8541",0.225325488499065,0.50735540456743,0.386406902549807,"5567/6546/2099/115/5578/23236/5332",7
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","7/801","54/8541",0.239661491546646,0.536084915301708,0.408287582551765,"7173/942/3122/3119/3112/3111/7038",7
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","6/801","45/8541",0.243180508621476,0.540401130269947,0.411574854632839,"9429/6891/19/368/8714/10351",6
"hsa00512","Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","5/801","36/8541",0.24511647230365,0.541166237553512,0.412157567920013,"442117/55568/79695/374378/50614",5
